source_record	motif_id	source_name	tax_id	source_species	source_type	tf_class	tf_family	width	mean_sequence_count	source_file	sha256	retrieval_url	retrieved_on	redistribution_posture	development_exposure
MA0139.2	CTCF	CTCF	9606	Homo sapiens	ChIP-seq	C2H2 zinc finger factors	More than 3 adjacent zinc fingers	15	911.20000000000005	MA0139.2.jaspar	c2ddd7317cde6962b2fa77959d765cf7ec6b96e44eed6ef87a503c4124579b5b	https://jaspar.elixir.no/api/v1/matrix/MA0139.2.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0106.3	TP53	TP53	9606	Homo sapiens	HT-SELEX	p53 domain factors	p53-related factors	18	18978.111111111109	MA0106.3.jaspar	f760e76afc8e0881dec2e6662e518e8b676263c22826b5a65728242baa2c061a	https://jaspar.elixir.no/api/v1/matrix/MA0106.3.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0112.4	ESR1	ESR1	9606	Homo sapiens	HT-SELEX	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	15	570.73333333333335	MA0112.4.jaspar	659e5b55b29ad9430d7d1047e8ca104bdb4338402aa8adc5ecd2acc7a1cd0c11	https://jaspar.elixir.no/api/v1/matrix/MA0112.4.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0148.5	FOXA1	FOXA1	9606	Homo sapiens	ChIP-seq	Fork head/winged helix factors	FOX	8	322803	MA0148.5.jaspar	2873dd7a102967faf776ae2246b8df91d5d2a63fd6cd95308c6ffa177fbf180c	https://jaspar.elixir.no/api/v1/matrix/MA0148.5.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0114.5	HNF4A	HNF4A	9606	Homo sapiens	ChIP-seq	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	9	46504	MA0114.5.jaspar	76f2a8c1d9e4ee7dedb74713878aa9242b968e2ec7f1bd629e3246a8337f6585	https://jaspar.elixir.no/api/v1/matrix/MA0114.5.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0039.5	KLF4	KLF4	9606	Homo sapiens	ChIP-seq	C2H2 zinc finger factors	Three-zinc finger Kruppel-related	8	55817	MA0039.5.jaspar	59ea6aaf3c7184da3ff040a2283fd67b3da55a7c83293e1169cbdde77906f925	https://jaspar.elixir.no/api/v1/matrix/MA0039.5.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0147.4	MYC	MYC	9606	Homo sapiens	ChIP-seq	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP	8	4942	MA0147.4.jaspar	042de6b89e4f248ec0ea4d34b35b235be542d58e5e9a8c54a2b9e00f7906a6b4	https://jaspar.elixir.no/api/v1/matrix/MA0147.4.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0024.3	E2F1	E2F1	9606	Homo sapiens	HT-SELEX	Fork head/winged helix factors	E2F	12	874.83333333333337	MA0024.3.jaspar	b5d0cc4596e5b02108fde6947fc077c41cf163eca2119d7da382c5f9a6dd8e28	https://jaspar.elixir.no/api/v1/matrix/MA0024.3.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0137.4	STAT1	STAT1	9606	Homo sapiens	ChIP-seq	STAT domain factors	STAT factors	9	3629	MA0137.4.jaspar	296bbd285a452d12136785642c24ef919e4310dc9b1d346ca4eae12ba51b17fe	https://jaspar.elixir.no/api/v1/matrix/MA0137.4.jaspar	2026-08-29	CC-BY-4.0	fresh
MA0050.2	IRF1	IRF1	9606	Homo sapiens	ChIP-seq	Tryptophan cluster factors	Interferon-regulatory factors	21	1362	MA0050.2.jaspar	f54135e9ca10a909291b4dd83aba0034a8a1de57772e87d296fab78cf9c0ed1f	https://jaspar.elixir.no/api/v1/matrix/MA0050.2.jaspar	2026-08-29	CC-BY-4.0	fresh
